ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|No hay lugar como el hogar.
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|Deberías ir a casa. No has comido hoy.
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|Sí, ya acabé aquí de todas formas. Vamos.
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|En realidad, me quedaré aquí un rato.
4|Speech (Player)|Alright, See you later Noo Noo!|Está bien. ¡Nos vemos luego Noo Noo!
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|Adiós Po, estaré en casa pronto.
6|Speech (Noo Noo)|I wonder what the others are up to.|Me pregunto qué estará haciendo el resto.
7|Speech (Noo Noo)|Why are you out here all by yourself?|¿Por qué estás aquí afuera sólo?
8|Speech (Noo Noo)|Everyone misses you.|Todos te extrañan.
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|Debería estar en el estante de herramientas cerca de las camas.
10|Speech (Player)|Alright thanks!|Está bien, ¡gracias!
11|Speech (Tinky Winky)|PO's back, horray!|Po volvió, ¡hurra!
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|Lo siento, no quería ser grosero.
13|Speech (Noo Noo)|All is forgiven.|Todo está perdonado.
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|No hay tiempo de despertar a los demás.  ¡Debo seguirlo rápido antes de que vaya lejos!
15|Speech (Player)|I better grab a torch from the work bench.|Mejor agarro la linterna de la mesa de trabajo.
16|Speech (Player)|I hope custard will chear Laa Laa up...|Espero que una papilla anime a Laa Laa...
17|Speech (Player)|What a view...|Pero qué vista...
18|Speech (Noo Noo)|It's a beautiful day.|Es un hermoso día.
19|Speech (Lala)|Oh, hi Po... *sigh*|Oh, hola Po... *suspiro*
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|Claro, debes presionar el botón de 'encendido' a tu derecha.
21|Speech (Player)|Ah now I remember, thanks!|Ah, ahora recuerdo, ¡gracias!
22|Speech (Player)|What I'm doing here is none of your concern.|Lo que hago aquí no es de tu incumbencia.
23|Speech (Noo Noo)|You are my concern, I am here for you.|Tú eres mi incumbencia, estoy aquí para ti.
24|Speech (Player)|It sure is! Today is nice and warm.|¡De veras lo es! Es lindo y cálido.
25|Speech (Noo Noo)|I am unable to feel warmth.|Soy incapaz de sentir calor.
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|Nope, se perdió hace tanto que no puedo ni recordar cuándo lo perdí.
27|Speech (Player)|You'll find it eventually, I'm sure.|Lo encontrarás eventualmente, estoy seguro.
28|Speech (Player)|I should probably give Dipsy some tubby custard.|Probablemente deba darle una tubipapilla a Dipsy.
29|Speech (Player)|I'll need to find the tool box before I can fix this.|Necesito encontrar la caja de herramientas antes de arreglar esto.
30|Speech (Player)|(He's my best friend!)|(¡Es mi mejor amigo!)
31|Speech (Player)|It's ready, time to give it to one of my friends!|Está lista, ¡hora de darsela a uno de mis amigos!
32|Speech (Player)|I'm already carrying a custard.|Ya estoy llevando una papilla.
33|Speech (Player)|Now to make myself some tubby custard!|¡Ahora a hacerme una tubipapilla!
34|Speech (Player)|I can't sleep...|No puedo dormir...
35|Speech (Player)|*Gasp*|*Gasp*
36|Speech (Player)|Tubby custard, how did that get here?|Tubipapilla, ¿cómo llegó eso aquí?
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|Tinky Winky no parece estar aquí, supongo que iré a revisar el lago.
38|Speech (Player)|Tinky Winky...?|¿Tinky Winky...?
39|Speech (Player)|Wh... What happened to La La...?|¿Qu... Qué le pasó a Laa Laa?
40|Speech (Player)|Are you ok...?|¿Estás bien...?
41|Speech (Player)|Oh my god!|¡Oh por dios!
42|Speech (Player)|He's chasing me, I better get to the house quick!|Me está persiguiendo, ¡mejor voy a la casa rápido!
43|Speech (Player)|Hey Dipsy...|Hey Dipsy...
44|Speech (Dipsy (Hungry))|Hey.|Hey.
45|Speech (Player)|It still works, but I don't need it right now.|Aún funciona, pero no la necesito ahora mismo.
46|Speech (Tinky Winky)|........................................|........................................
47|Speech (Player)|Wait, where are you going!?|Espera, ¿¡a dónde vas!?
48|Speech (Tinky Winky)|Wow PO don't be so rude.|Wow Po, no seas tan grosero.
49|Speech (Player)|Get used to it.|Acostúmbrate.
50|Speech (Tinky Winky)|*Tinky Winky is offended*|*Tinky Winky está ofendido*
51|Speech (Player)|Power is now on, time to make some custard!|La energía está encendida, ¡hora de hacer papillas!
52|Speech (Player)|We should get you a rain coat.|Deberíamos conseguirte un impermeable.
53|Speech (Noo Noo)|That would be practical.|Eso sería práctico.
54|Speech (Player)|Alright, now time to fix the custard machine...|Bien, hora de arreglar la máquina de papillas...
55|Speech (Player)|Will you just go away?|¿Te podrías ir?
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|Deberías tratar al resto como quieres que te traten.
57|Speech (Lala)|I don't really feel like playing...|La verdad no estoy de humor como para jugar...
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|Hola Po, me está dando hambre...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|¡A mi igual! Vayamos adentro y consigamos tubipapillas.
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|¡Ok! Pero deberías hablarle a Laa Laa primero, ha estado preocupada todo el día.
61|Speech (Player)|Uh oh! The machine is broken again, I guess I better fix it.|¡Uh oh! La máquina se rompió se nuevo, supongo que debo arreglarla.
62|Speech (Tinky Winky)|Please hurry, I'm so hungry! Go fetch the tool box.|Por favor apresúrate, ¡tengo mucha hambre! Ve a buscar la caja de herramientas.
63|Speech (Player)|Here you go Tinky Winky!|¡Aquí tienes, Tinky Winky!
64|Speech (Tinky Winky)|Thank you PO! I couldn't live without you.|¡Gracias Po! No podría vivir sin ti.
65|Speech (Player)|Guys wake up, Tinky Winky broke the custard machine and left!|Chicos, despierten, ¡Tinky Winky rompió la máquina de papillas y se fue!
66|Speech (Lala)|...Huh what? why?|...Huh, ¿qué? ¿por qué?
67|Speech (Player)|I don't know but I'm worried.  We need to find him.|No lo sé pero estoy preocupada.  Debemos encontrarlo.
68|Speech (Lala)|Ok, go get a torch from the work bench and I'll be up in a minute.|Ok, ve a buscar una linterna de la mesa de trabajo y estaré levantada en un minuto.
69|Speech (Dipsy (Hungry))|*zzz*... You guys go on, I'll wait here in case he comes back.. *zzz*|*zzz*... Ustedes sigan, esperaré aquí en caso de que regrese.. *zzz*
70|Speech (Player)|I'm getting kinda hungry.|Me está dando un poco de hambre.
71|Speech (Noo Noo)|There is custard back at our home.|Hay papilla en nuestra casa.
72|Speech (Player)|Chear up Laa Laa, I made some custard for you to make you feel better.|Anímate Laa Laa, hice un poco de papilla para ti para que te sientas mejor.
73|Speech (Lala)|*sniff* Thank you Po, you are a true friend.|*sniff* Gracias Po, eres una amiga de verdad.
74|Speech (Lala)|*La La feels a bit better*|*Laa Laa se siente un poco mejor*
74|Speech (Lala)|*Laa Laa feels a bit better*|*Laa Laa se siente un poco mejor*
75|Speech (Player)|I'm just playing, it's great fun!|Sólo estoy jugando, ¡es muy divertido!
76|Speech (Noo Noo)|I am glad you are enjoying yourself.|Me alegro de que te estés disfrutando.
77|Speech (Lala)|Oh hi again Po... *sniff*|Oh, hola de nuevo Po... *sniff*
78|Speech (Player)|Ok, time to find Tinky Winky...|Ok, hora de encontrar a Tinky Winky...
79|Speech (Lala)|Hey! Why did you do... um... it's okay, I didn't want to play with it anyway.|¡Hey! Por qué hiciste... um... está bien, de todas formas no quería jugar con ella.
80|Speech (Player)|Hello Noo Noo!|¡Hola, Noo Noo!
81|Speech (Noo Noo)|Greetings Po.|Saludos, Po.
82|Speech (Dipsy (Hungry))|Oh if you are making custard, make me some too!|Oh, si vas a hacer papilla, ¡hazme un poco también!
83|Speech (Lala)|No.. I had a bad dream last night, it was about us and bad things happened... but I can't remember what.|No.. Tuve un mal sueño anoche, era sobre nosotros y cosas malas pasaban... pero no puedo recordar qué.
84|Speech (Player)|Sounds scary, but it was just a dream.. try to forget about it.|Suena tenebroso, pero sólo fue un sueño.. intenta olvidarlo.
85|Speech (Player)|Here you go Dipsy!|¡Aquí tienes Dipsy!
86|Speech (Dipsy (Hungry))|Thank you PO, don't forget about yourself! You must be hungry.|Gracias Po, ¡no te olvides de ti! Debes de estar hambriento.
87|Speech (Player)|That sucks.|Eso apesta.
88|Speech (Noo Noo)|Yes, it does.|Sí, lo hace.
89|Speech (Player)|They are so pretty!|¡Son tan hermosas!
90|Speech (Player)|It's not for me, I prefer cold weather...|No es para mi, prefiero los climas fríos...
91|Speech (Noo Noo)|Information noted.|Información anotada.
92|Speech (Tinky Winky)|Eh-Oh! I want tubby custard!|¡Eh-Oh! ¡Quiero tubipapilla!
