ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|i love the smell of napalm in the morning
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|you should go home, you must be fuking starving.
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|yeah staring at the sun hurts, lets go
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|who said im going with you? im gonna stay 4 a while
4|Speech (Player)|Alright, See you later Noo Noo!|well fuck, bye i guess
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|cya po, im definitely not gonna do some suspicious shit on the secret center
6|Speech (Noo Noo)|I wonder what the others are up to.|im blue da ba dee da ba daa
7|Speech (Noo Noo)|Why are you out here all by yourself?|why did you leave the house?
8|Speech (Noo Noo)|Everyone misses you.|people are worried, what the fuck man
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|it shud be on the tool thing near the sleeping things
10|Speech (Player)|Alright thanks!|kthx
11|Speech (Tinky Winky)|PO's back, horray!|here com dat po!
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|sorry i forgot 2 eat a snickers today
13|Speech (Noo Noo)|All is forgiven.|k then
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|fuk the others ill go alone
15|Speech (Player)|I better grab a torch from the work bench.|i butter get a light thing from the work thing
16|Speech (Player)|I hope custard will chear Laa Laa up...|I hope custard will chear Laa Laa up...
17|Speech (Player)|What a view...|wat the hell am i doing here
18|Speech (Noo Noo)|It's a beautiful day.|vroom vroom im a normal talking vacuum
19|Speech (Lala)|Oh, hi Po... *sigh*|o hai po *heavy breathing*
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|u need 2 press the 'on' button, are you fking retarded?
21|Speech (Player)|Ah now I remember, thanks!|fuck off dipsy u know i suck at this
22|Speech (Player)|What I'm doing here is none of your concern.|the fuck do you care you blue cylindric piece of shit
23|Speech (Noo Noo)|You are my concern, I am here for you.|i do care, you my nigga right?
24|Speech (Player)|It sure is! Today is nice and warm.|its pretty warm dont you think?
25|Speech (Noo Noo)|I am unable to feel warmth.|how would i know, im a fucking vacuum you fucking idiot
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|neh, im 2 lazy to serach but i want it bak
27|Speech (Player)|You'll find it eventually, I'm sure.|then search it fgt, god dammit
28|Speech (Player)|I should probably give Dipsy some tubby custard.|i shud give green fgt some kfc
29|Speech (Player)|I'll need to find the tool box before I can fix this.|i need da thing with tools before i engineer
30|Speech (Player)|(He's my best friend!)|(my man!)
31|Speech (Player)|It's ready, time to give it to one of my friends!|finally, now i gotta give it to sum fgt
32|Speech (Player)|I'm already carrying a custard.|custurds are heavy, gimme a break you fuck
33|Speech (Player)|Now to make myself some tubby custard!|"my turn 2 eat "
34|Speech (Player)|I can't sleep...|cant sleep, weed isnt good
35|Speech (Player)|*Gasp*|*omg intensifies*
36|Speech (Player)|Tubby custard, how did that get here?|purple fgt dropped a cuss turd, what an fuck
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|purple fgt isnt here, i guess i should check da l8k
38|Speech (Player)|Tinky Winky...?|yo fgt, water u doin
39|Speech (Player)|Wh... What happened to La La...?|"lmao yellow fgt is so wasted "
40|Speech (Player)|Are you ok...?|u ok?? talk 2 me fgt
41|Speech (Player)|Oh my god!|omggggggg!!!!!!11111111
