ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|金窝银窝，不如自己的狗窝。
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|你应该回家了，你今天到现在都还没吃饭。
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|我这里已经做完了，走吧。
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|其实，我还要在这里待上一会儿。
4|Speech (Player)|Alright, See you later Noo Noo!|好吧，努努待会见！
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|再见，小波。我等一下就回来。
6|Speech (Noo Noo)|I wonder what the others are up to.|我想知道其他人都去哪里了。
7|Speech (Noo Noo)|Why are you out here all by yourself?|你为什么要自己一个人到这里？
8|Speech (Noo Noo)|Everyone misses you.|大家都想念你。
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|它应该在床边的工具架上。
10|Speech (Player)|Alright thanks!|好的，谢谢！
11|Speech (Tinky Winky)|PO's back, horray!|小波回来了，万岁！
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|我很抱歉，我并不是故意要这么粗鲁的。
13|Speech (Noo Noo)|All is forgiven.|一切都已被原谅。
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|没有时间叫醒其他人了。我必须要他走远之前跟随他！
15|Speech (Player)|I better grab a torch from the work bench.|我最好带上工作台上的手电筒。
16|Speech (Player)|I hope custard will chear Laa Laa up...|我希望奶昔可以振奋拉拉...
17|Speech (Player)|What a view...|多么漂亮的风景...
18|Speech (Noo Noo)|It's a beautiful day.|那是个美好的一天。
19|Speech (Lala)|Oh, hi Po... *sigh*|哦，你好小波 *叹息*
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|当然，你要按你右边的“开”按钮。
21|Speech (Player)|Ah now I remember, thanks!|啊我现在记得了，谢谢！
22|Speech (Player)|What I'm doing here is none of your concern.|我在这里所做的事与你无关。
23|Speech (Noo Noo)|You are my concern, I am here for you.|你是我的焦点,我为了你在这里。
24|Speech (Player)|It sure is! Today is nice and warm.|就是！今天真是又温暖又美好。
25|Speech (Noo Noo)|I am unable to feel warmth.|我不能感受温度。
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|不，它已经不见很久了，我甚至不记得我什么时候弄丢的。
27|Speech (Player)|You'll find it eventually, I'm sure.|我相信你最终会找到它的。
28|Speech (Player)|I should probably give Dipsy some tubby custard.|我应该给迪西一些宝宝奶昔。
29|Speech (Player)|I'll need to find the tool box before I can fix this.|我必需要找到工具箱才能修理这个。
30|Speech (Player)|(He's my best friend!)|(他是我最好的朋友！)
31|Speech (Player)|It's ready, time to give it to one of my friends!|已经好了，是时候拿给其中一个朋友了。
32|Speech (Player)|I'm already carrying a custard.|我已经拿了一个奶昔了。
33|Speech (Player)|Now to make myself some tubby custard!|现在我要弄一些宝宝奶昔给自己！
34|Speech (Player)|I can't sleep...|我睡不着...
35|Speech (Player)|*Gasp*|*抽口气*
36|Speech (Player)|Tubby custard, how did that get here?|宝宝奶昔，它怎么会在这边？
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|丁丁似乎不再这里，我猜我最好检查一下湖边。
38|Speech (Player)|Tinky Winky...?|丁丁...?
