ID|Type|Original line|The translation
0|Speech (Player)|There's no place like home.|金窩銀窩，不如自己的狗窩。
1|Speech (Noo Noo)|You should head home, You haven't eaten today.|你應該回家了，你今天到現在都還沒吃飯。
2|Speech (Player)|Yeah I'm done here anyway, Let's go.|我這裡已經做完了，走吧。
3|Speech (Noo Noo)|Actually, I'm gonna stay here for a bit.|其實，我還要在這裡待上一會兒。
4|Speech (Player)|Alright, See you later Noo Noo!|好吧，努努待會見！
5|Speech (Noo Noo)|Bye Po, I'll be home soon.|再見，小波。我等一下就回來。
6|Speech (Noo Noo)|I wonder what the others are up to.|我想知道其他人都去哪裡了。
7|Speech (Noo Noo)|Why are you out here all by yourself?|你為什麼要自己一個人到這裡？
8|Speech (Noo Noo)|Everyone misses you.|大家都想念你。
9|Speech (Dipsy (Hungry))|It should be on the tool rack near the beds.|它應該在床邊的工具架上。
10|Speech (Player)|Alright thanks!|好的，謝謝！
11|Speech (Tinky Winky)|PO's back, horray!|小波回來了，萬歲！
12|Speech (Player)|I'm sorry, I didn't mean to be rude.|我很抱歉，我並不是故意要這麼粗魯的。
13|Speech (Noo Noo)|All is forgiven.|一切都已被原諒。
14|Speech (Player)|There is no time to wake the others.  I need to follow him quickly before he goes far!|沒有時間叫醒其他人了。我必須要他走遠之前跟隨他！
15|Speech (Player)|I better grab a torch from the work bench.|我最好帶上工作臺上的手電筒。
16|Speech (Player)|I hope custard will chear Laa Laa up...|我希望奶昔可以振奮拉拉...
17|Speech (Player)|What a view...|多麼漂亮的風景...
18|Speech (Noo Noo)|It's a beautiful day.|那是個美好的一天。
19|Speech (Lala)|Oh, hi Po... *sigh*|哦，你好小波 *嘆息*
20|Speech (Dipsy (Hungry))|Of course, you need to press the 'on' button on your right.|當然，你要按你右邊的“開”按鈕。
21|Speech (Player)|Ah now I remember, thanks!|啊我現在記得了，謝謝！
22|Speech (Player)|What I'm doing here is none of your concern.|我在這裡所做的事與你無關。
23|Speech (Noo Noo)|You are my concern, I am here for you.|你是我的焦點,我為了你在這裡。
24|Speech (Player)|It sure is! Today is nice and warm.|就是！今天真是又溫暖又美好。
25|Speech (Noo Noo)|I am unable to feel warmth.|我不能感受溫度。
26|Speech (Dipsy (Hungry))|Nope, it's been missing for so long that I can't even remember when I lost it.|不，它已經不見很久了，我甚至不記得我什麼時候弄丟的。
27|Speech (Player)|You'll find it eventually, I'm sure.|我相信你最終會找到它的。
28|Speech (Player)|I should probably give Dipsy some tubby custard.|我應該給迪西一些寶寶奶昔。
29|Speech (Player)|I'll need to find the tool box before I can fix this.|我必需要找到工具箱才能修理這個。
30|Speech (Player)|(He's my best friend!)|(他是我最好的朋友！)
31|Speech (Player)|It's ready, time to give it to one of my friends!|已經好了，是時候拿給其中一個朋友了。
32|Speech (Player)|I'm already carrying a custard.|我已經拿了一個奶昔了。
33|Speech (Player)|Now to make myself some tubby custard!|現在我要弄一些寶寶奶昔給自己！
34|Speech (Player)|I can't sleep...|我睡不著...
35|Speech (Player)|*Gasp*|*抽口氣*
36|Speech (Player)|Tubby custard, how did that get here?|寶寶奶昔，它怎麼會在這邊？
37|Speech (Player)|Tinky Winky doesn't seem to be here, I guess I better check the lake.|丁丁似乎不再這裡，我猜我最好檢查一下湖邊。
38|Speech (Player)|Tinky Winky...?|丁丁...?
39|Speech (Player)|Wh... What happened to La La...?|拉拉...拉拉發生什麼事了?
40|Speech (Player)|Are you ok...?|你還好嗎...?
41|Speech (Player)|Oh my god!|我的天！
42|Speech (Player)|He's chasing me, I better get to the house quick!|他在追我，我最好趕緊回到家裡！
43|Speech (Player)|Hey Dipsy...|嘿迪西...
44|Speech (Dipsy (Hungry))|Hey.|嘿。
45|Speech (Player)|It still works, but I don't need it right now.|它還能運作，但是我現在不需要。
46|Speech (Tinky Winky)|........................................|........................................
47|Speech (Player)|Wait, where are you going!?|等等，你要去哪裡？
48|Speech (Tinky Winky)|Wow PO don't be so rude.|哇哇小波你不要這麼粗魯。
49|Speech (Player)|Get used to it.|習慣它。
50|Speech (Tinky Winky)|*Tinky Winky is offended*|*丁丁被冒犯*
51|Speech (Player)|Power is now on, time to make some custard!|電源開了，是時候做些奶昔了！
52|Speech (Player)|We should get you a rain coat.|我們應給你準備一個雨衣。
53|Speech (Noo Noo)|That would be practical.|這才實際。
54|Speech (Player)|Alright, now time to fix the custard machine...|好的，現在要修理奶昔機...
55|Speech (Player)|Will you just go away?|你會走開嗎？
56|Speech (Noo Noo)|You should treat others how you'd like to be treated.|己所不欲，勿施於人。
57|Speech (Lala)|I don't really feel like playing...|我現在不想玩,,,
58|Speech (Tinky Winky)|Hi Po, I'm getting hungry...|嗨，小波。我餓了...
59|Speech (Player)|Me too! Lets go inside and get tubby custard.|我也是！咱們進去吃些寶寶奶昔。
60|Speech (Tinky Winky)|Ok! But you should talk to LaLa first, she's been upset all day.|好！但是你應該與拉拉聊下天，它已經這麼失落一整天了。
